レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,add_graph_parameter_by_node_index(),フレーム処理,関数呼び出し,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: * Utility API used to add a グラフ parameter from a ノード, ノード parameter index）","* Utility API used to add a graph parameter from a node, node parameter index","* Utility API used to add a グラフ parameter from a ノード, ノード parameter index",Draw2D_Handle,apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_default_param_set(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"sensorObj, displayObj, set_img_mosaic_params, ImgMosaicObj, imgMosaicObj, ObjArrSplitObj, objArrSplitObj, AppObj, appIssGetResizeParams, Draw2D_Handle",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_deinit(),フレーム取得,関数呼び出し,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"sensorObj, captureObj, objArrSplitObj, vissObj, aewbObj, ldcObj, imgMosaicObj, displayObj, AppObj, VISSObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_delete_graph(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"captureObj, objArrSplitObj, vissObj, aewbObj, sensorObj, ldcObj, imgMosaicObj, displayObj, VISSObj, AppObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_draw_graphics(),その他,関数呼び出し,"一般的な制御ロジックを実行する（注記: * Utility API used to add a グラフ parameter from a ノード, ノード parameter index）","* Utility API used to add a graph parameter from a node, node parameter index","* Utility API used to add a グラフ parameter from a ノード, ノード parameter index",,apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_parse_cfg_file(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"sensorObj, captureObj, vissObj, ldcObj, displayObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_parse_cmd_line_args(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"captureObj, sensorObj, AppObj, gAppObj, sensor_obj, capture_obj, objArrSplitObj, objArrSplit_obj, vissObj, viss_obj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_pipeline_params_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"SensorObj, sensorObj, AppObj, displayObj, set_img_mosaic_params, ImgMosaicObj, imgMosaicObj, ObjArrSplitObj, objArrSplitObj, appIssGetResizeParams",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_run_screen_task(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,"AppObj, tivxTaskSetDefaultCreateParams, captureObj, vissObj, ldcObj, objArrSplitObj, sensorObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_run_screen_task_delete(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"AppObj, tivxTaskSetDefaultCreateParams, captureObj, vissObj, ldcObj, objArrSplitObj, sensorObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_run_task(),フレーム処理,タスクループ,取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す,,,"AppObj, tivxTaskSetDefaultCreateParams, captureObj, vissObj, ldcObj, objArrSplitObj, sensorObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_run_task_delete(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"AppObj, captureObj, vissObj, ldcObj, objArrSplitObj, sensorObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_set_cfg_default(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"captureObj, vissObj, ldcObj, objArrSplitObj, AppObj, sensorObj, displayObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_show_usage(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"AppObj, tivxTaskSetDefaultCreateParams, captureObj, vissObj, ldcObj, objArrSplitObj, sensorObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_update_param_set(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Number of time to clear the output バッファ before it gets reused）,Number of time to clear the output buffer before it gets reused,Number of time to clear the output バッファ before it gets reused,"appIssGetResizeParams, sensorObj, objArrSplitObj, set_img_mosaic_params, imgMosaicObj, Draw2D_Handle",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,set_display_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"displayObj, AppObj, SensorObj, sensorObj, set_img_mosaic_params, ImgMosaicObj, imgMosaicObj, ObjArrSplitObj, objArrSplitObj, appIssGetResizeParams",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,set_img_mosaic_params(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"imgMosaicObj, objArrSplitObj, AppObj, appIssGetResizeParams, sensorObj, set_img_mosaic_params, Draw2D_Handle",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,set_sensor_defaults(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: user asked to 停止する processing）,user asked to stop processing,user asked to 停止する processing,"sensorObj, AppObj, displayObj, set_img_mosaic_params, ImgMosaicObj, imgMosaicObj, ObjArrSplitObj, objArrSplitObj, appIssGetResizeParams, Draw2D_Handle",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
0,main(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う,,,tskParams,platform/j722s/rtos/mcu2_0/main.c,RTOS(MCU2_0)
1,Board_init(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/mcu2_0/generated/ti_board_config.c,RTOS(MCU2_0)
1,System_init(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: finally we initialize all peripheral drivers）,finally we initialize all peripheral drivers,finally we initialize all peripheral drivers,,platform/j722s/rtos/mcu2_0/generated/ti_drivers_config.c,RTOS(MCU2_0)
1,StartupEmulatorWaitFxn(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: extern globals that are specific to this core）,extern globals that are specific to this core,extern globals that are specific to this core,tskParams,platform/j722s/rtos/mcu2_0/main.c,RTOS(MCU2_0)
1,appGetDdrSharedHeapSize(),その他,関数呼び出し,"一般的な制御ロジックを実行する（注記: The following line should never be reached because vTaskStartScheduler()
  will only return if there was not enough FreeRTOS heap memory available to
  生成する the Idle and (if configured) Timer tasks. Heap management, and
  techniques for trapping heap exhaustion, are described in the book text.）","The following line should never be reached because vTaskStartScheduler()
    will only return if there was not enough FreeRTOS heap memory available to
    create the Idle and (if configured) Timer tasks.  Heap management, and
    techniques for trapping heap exhaustion, are described in the book text.","The following line should never be reached because vTaskStartScheduler()
  will only return if there was not enough FreeRTOS heap memory available to
  生成する the Idle and (if configured) Timer tasks. Heap management, and
  techniques for trapping heap exhaustion, are described in the book text.",,platform/j722s/rtos/mcu2_0/main.c,RTOS(MCU2_0)
2,Board_deinit(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: * Auto generated file）,* Auto generated file,* Auto generated file,,platform/j722s/rtos/mcu2_0/generated/ti_board_config.c,RTOS(MCU2_0)
2,Dpl_deinit(),割り込み,HW割り込み,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: Enable 割り込み handling）,Enable interrupt handling,Enable 割り込み handling,,platform/j722s/rtos/mcu2_0/generated/ti_dpl_config.c,RTOS(MCU2_0)
