レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,add_graph_parameter_by_node_index(),フレーム処理,関数呼び出し,"取得フレームを画像処理パイプライン（VISS/MSC/TIDL等）に通す（注記: * Utility API used to add a グラフ parameter from a ノード, ノード parameter index）","* Utility API used to add a graph parameter from a node, node parameter index","* Utility API used to add a グラフ parameter from a ノード, ノード parameter index",Draw2D_Handle,apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_run_screen_task(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する,,,"AppObj, tivxTaskSetDefaultCreateParams, captureObj, vissObj, ldcObj, objArrSplitObj, sensorObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,app_run_screen_task_delete(),フレーム取得,タスクループ,カメラ入力の受信やDMA転送を設定・実行してフレームを取得する,,,"AppObj, tivxTaskSetDefaultCreateParams, captureObj, vissObj, ldcObj, objArrSplitObj, sensorObj",apps/basic_demos/app_multi_cam/main.c,Linux(A72)
,appResume(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する,,,tskParams,platform/am62a/rtos/mcu1_0/main.c,RTOS(MCU1_0)
,appSuspend(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する,,,tskParams,platform/am62a/rtos/mcu1_0/main.c,RTOS(MCU1_0)
,tx_application_define(),初期化,関数呼び出し,"モジュールやパラメータを初期化し、実行準備を行う（注記: The following line should never be reached because vTaskStartScheduler()
  will only return if there was not enough FreeRTOS heap memory available to
  生成する the Idle and (if configured) Timer tasks. Heap management, and
  techniques for trapping heap exhaustion, are described in the book text.）","The following line should never be reached because vTaskStartScheduler()
    will only return if there was not enough FreeRTOS heap memory available to
    create the Idle and (if configured) Timer tasks.  Heap management, and
    techniques for trapping heap exhaustion, are described in the book text.","The following line should never be reached because vTaskStartScheduler()
  will only return if there was not enough FreeRTOS heap memory available to
  生成する the Idle and (if configured) Timer tasks. Heap management, and
  techniques for trapping heap exhaustion, are described in the book text.",,platform/am62a/rtos/mcu1_0/main.c,RTOS(MCU1_0)
,appGetDdrSharedHeapSize(),その他,関数呼び出し,一般的な制御ロジックを実行する（注記: does not return）,does not return,does not return,,platform/j721e/rtos/mcu1_0/main.c,RTOS(MCU1_0)
,Drivers_i2cClose(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Exit gracefully）,Exit gracefully,Exit gracefully,gI2cHandle,platform/j722s/rtos/mcu2_0/generated/ti_drivers_open_close.c,RTOS(MCU2_0)
,Drivers_i2cOpen(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: I2C Driver Parameters）,I2C Driver Parameters,I2C Driver Parameters,"gI2cHandle, gI2cParams",platform/j722s/rtos/mcu2_0/generated/ti_drivers_open_close.c,RTOS(MCU2_0)
0,main(),終了処理,関数呼び出し,ノード／メモリ等のリソースを解放し、実行を終了する（注記: cfgClec.rtMap value is different for each C7x）,cfgClec.rtMap value is different for each C7x,cfgClec.rtMap value is different for each C7x,tskParams,platform/j721e/rtos/c7x_1/main.c,共通/その他
